ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
746;O=c1c2cc(Cl)ccc2n2nnc3ccc(NCCNCCO)c1c32;746;;0;;645819;classBSEPsub;SMILES;O=c1c2cc(Cl)ccc2n2nnc3ccc(NCCNCCO)c1c32;classBSEPsub;0;0;valid
747;O=C(NC(=O)c1ccccc1[N+](=O)[O-])Nc1ccc(Oc2ncc(Cl)cn2)c([N+](=O)[O-])c1;747;;0;;624285;classBSEPsub;SMILES;O=C(NC(=O)c1ccccc1[N+](=O)[O-])Nc1ccc(Oc2ncc(Cl)cn2)c([N+](=O)[O-])c1;classBSEPsub;0;0;valid
748;CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C)CCC23C)C1(C)C(=O)O;748;;0;;624806;classBSEPsub;SMILES;CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C)CCC23C)C1(C)C(=O)O;classBSEPsub;0;0;valid
749;COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1OC;749;;0;;696660;classBSEPsub;SMILES;COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1OC;classBSEPsub;0;0;valid
750;COc1ccc(/C=C2\CCCc3ccccc3C2=O)cc1;750;;0;;687667;classBSEPsub;SMILES;COc1ccc(/C=C2\CCCc3ccccc3C2=O)cc1;classBSEPsub;0;0;valid
751;CCOc1cc2c(cc1O)CCC1C2CCC2(C)C(N)CCC12;751;;0;;687454;classBSEPsub;SMILES;CCOc1cc2c(cc1O)CCC1C2CCC2(C)C(N)CCC12;classBSEPsub;0;0;valid
752;COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)C=C(C)OC3O;752;;0;;626482;classBSEPsub;SMILES;COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)C=C(C)OC3O;classBSEPsub;0;0;valid
753;CC1Cc2cc(O)ccc2C2C(O[N+](=O)[O-])CC3(C)C(O)CCC3C12;753;;0;;666571;classBSEPsub;SMILES;CC1Cc2cc(O)ccc2C2C(O[N+](=O)[O-])CC3(C)C(O)CCC3C12;classBSEPsub;0;0;valid
754;CC1=C(C)C(=O)OC(C(C)(O)C2(O)CCC3(O)C4CC5OC56C(O)C=CC(=O)C6(C)C4CCC32C)C1;754;;0;;212509;classBSEPsub;SMILES;CC1=C(C)C(=O)OC(C(C)(O)C2(O)CCC3(O)C4CC5OC56C(O)C=CC(=O)C6(C)C4CCC32C)C1;classBSEPsub;0;0;valid
755;CC(CC1OC(C)(C)OC1C(C)(C)O)C1CC=C2C1(C)CCC1C3(C)CCC(O)C(C)(C)C3CC(O)C21C;755;;0;;676816;classBSEPsub;SMILES;CC(CC1OC(C)(C)OC1C(C)(C)O)C1CC=C2C1(C)CCC1C3(C)CCC(O)C(C)(C)C3CC(O)C21C;classBSEPsub;0;0;valid
