SMILES;Name;Cluster;Center
N#CC(C#N)=C(SCc1ccccc1)SCc1ccccc1;CNP0038824;659;No
O=c1c2nccnc2n(Cc2ccccc2)c(=O)n1Cc1ccccc1;CNP0413851;659;No
O=c1cc([O-])c2c(=O)oc3ccccc3c2o1;CNP0251028;659;No
CNC1=CC(=O)c2cc(-c3cc4ccccc4[nH]3)ncc2C1=O;CNP0424695;659;No
CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C;CNP0347300;659;No
CCc1ccc[n+]([O-])c1;CNP0247839;659;No
CC(O)CC#CC#Cc1ccccc1;CNP0257987;659;No
C=CC(C)(C)C1=Nc2ccccc2C1=Cc1[nH]c(=O)c(=O)[nH]c1O;CNP0073949;659;No
Cn1cnc(-c2ccc3ccccc3n2)c1;CNP0225843;659;No
C=Cc1[nH]ccc2c3ccccc3nc1-2;['CNP0079614',;659;No
CC(=O)NC(C#N)c1ccccc1;CNP0041616;659;No
Cc1ccccc1C1CC(O)C(O)C1NC(=O)c1nc2ccccc2s1;CNP0099291;659;No
OC[C@H](NC[C@H]1NC[C@H](O)[C@@H]1O)c1ccccc1;NPC101139;659;No
O=c1[nH]c(CO)nc2c1oc1ccccc12;CNP0372753;659;No
Cc1nn(-c2ccccc2)c(Cl)c1C#N;CNP0352311;659;No
Cc1cc2nc3cc(C)c(N)cc3[n+](-c3ccccc3)c2cc1N;CNP0337113;659;No
N#CC(Nc1ccccc1)c1ccccc1;CNP0043039;659;No
C(=Nc1ccccc1Nc1ccccc1N=Cc1ccccc1)c1ccccc1;CNP0331277;659;No
N#CC1=C(N)OC(C(F)(F)F)=CC1c1ccccc1;CNP0281253;659;No
Cc1cc(CO)c(O)c(CCc2ccccc2)n1;CNP0190253;659;No
CCC=NNc1ccccc1;CNP0413398;659;No
NC(=O)C(=NNc1c(Cl)cccc1Cl)c1nc2ccccc2s1;CNP0063751;659;No
CC=CC#CCCC=CC(=O)NCCc1ccccc1;CNP0248165;659;No
O=S(=O)([O-])c1ccc(N=Nc2ccccc2)cc1;CNP0054160;659;No
